"contact_group_id","group_id","contact_id"
"2801","12","1284"
"2264","12","697"
"3729","27","1368"
"3508","15","1433"
"3431","3","1351"
"3236","15","1377"
"3194","5","77"
"2486","15","1162"
"3684","26","1257"
"2437","8","95"
"3667","12","1457"
"3158","15","1358"
"671","2","47"
"672","2","51"
"673","2","52"
"3611","2","1356"
"1343","7","183"
"2068","15","1111"
"679","2","99"
"3015","15","1331"
"3706","8","1253"
"2291","2","1147"
"685","2","113"
"2507","15","1238"
"3208","15","1368"
"3323","9","1395"
"2797","12","116"
"2558","15","1250"
"3721","22","1277"
"3348","5","89"
"3568","7","1446"
"3425","15","1414"
"2448","2","1229"
"3679","5","1461"
"2436","6","95"
"3374","5","1403"
"3157","3","1358"
"2522","9","1244"
"713","3","47"
"714","3","51"
"715","3","52"
"717","3","63"
"3180","15","1361"
"2331","6","1192"
"721","3","78"
"3207","23","1251"
"725","3","99"
"2904","15","1310"
"3318","7","1394"
"1358","5","697"
"730","3","119"
"732","3","21"
"3739","27","907"
"3291","7","1310"
"2575","15","1258"
"3547","15","1441"
"3224","20","1282"
"3430","6","1415"
"742","3","169"
"3255","19","1306"
"3715","15","1387"
"2458","3","1217"
"3347","5","1399"
"3272","12","1375"
"3610","15","1449"
"1998","3","1102"
"3176","2","214"
"754","3","697"
"755","3","707"
"1529","8","21"
"2514","19","1241"
"2629","9","1269"
"760","3","888"
"761","3","890"
"3175","15","214"
"2989","19","1322"
"2683","21","116"
"3577","12","1442"
"767","3","924"
"768","3","925"
"3633","26","1253"
"2682","21","99"
"3465","19","697"
"3005","5","1324"
"1397","5","1001"
"3731","27","1462"
"1506","9","99"
"2435","7","95"
"3741","27","159"
"3293","15","1259"
"2586","7","59"
"1430","8","126"
"2009","15","1108"
"2330","9","1192"
"1341","5","183"
"2469","19","896"
"2700","3","1267"
"3061","7","1322"
"3576","19","1442"
"3639","12","1452"
"2958","7","905"
"2627","15","1269"
"2584","9","59"
"1528","7","21"
"2513","15","1241"
"2468","19","169"
"3632","26","1186"
"2864","12","1241"
"1926","8","709"
"3698","6","1131"
"3677","5","1459"
"868","5","6"
"2434","9","95"
"3377","15","1405"
"3156","22","1357"
"3665","23","1373"
"876","5","47"
"877","5","51"
"878","5","52"
"879","5","59"
"1334","8","962"
"884","5","78"
"3614","6","1356"
"2925","15","1314"
"3660","23","1220"
"888","5","99"
"3574","2","1442"
"3310","5","1393"
"3209","23","1368"
"3531","15","1437"
"3672","6","995"
"895","5","126"
"896","5","21"
"3457","9","1411"
"2868","15","1306"
"3461","8","1411"
"3705","9","1253"
"908","5","896"
"2784","2","1282"
"3244","7","1340"
"911","5","922"
"3657","23","1455"
"913","5","945"
"1843","15","1048"
"3432","7","1351"
"3004","15","1328"
"2924","3","1314"
"2799","3","1050"
"2140","8","1160"
"3098","7","1345"
"2433","15","95"
"3700","15","1466"
"3155","2","1357"
"3314","15","1394"
"2995","2","1323"
"2517","6","1002"
"932","6","51"
"933","6","52"
"934","6","59"
"3298","5","1269"
"2490","19","1234"
"2463","3","1003"
"3009","15","944"
