licence_id,begins,ends,ereserves,ereserves_txt,ill,ill_txt,archival,archival_txt,db_id,url_1,url_1_format,url_2,url_2_format,general
259,7/1/2014,6/30/2015,Yes,"ELN partner libraries may include items from the Digital Library for use in connection with classroom instruction.   Faculty members are allowed to reuse all ACM copyrighted material for classroon/educational use.

<BR>
[Section 2]",Yes,"Interlibrary loan of ACM Digital Library material is allowed.

<BR>
[Section 4]",Yes,"ELN partner libraries who have subscribed for 3 consecutive years or more will have archival access rights through the date of the subscription termination, without being tied to the maintenance of a current subscription.  Access to such rights will be made available at a fair and reasonable price, to be determined by ACM at that time.

<BR>
[Section 5]",27,http://www.eln.bc.ca/docs/view.php?id=490,[Link],,,
260,4/1/2015,3/31/2016,Yes,"<P>E-reserves and coursepacks permitted.  PLEASE NOTE REQUIREMENT TO REGISTER A ""HIT"" ON THE LICENSOR'S ON-LINE PLATFORM for coursepacks.</P>

<P>Details:</P>
<P>
COURSEPACKS  / ELECTRONIC RESERVES / VIRTUAL LEARNING.
Members and Authorized Users may incorporate a reasonable portion of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication) so long as a ìhitî is registered on Licensorís on-line platform each time an article is accessed for the CoursePack.  Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner.  Copies of such items shall be deleted by the Member when they are no longer used for such purpose.  Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users.
<BR>[3.1.8]</P>",Yes,"INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan  practices and applicable copyright laws provided that the loan is not done in a manner or magnitude that would replace the recipient libraryís own subscription             to either the Products or the purchase of the underlying Work (e.g., newspaper,  magazine, or book).<BR>[3.1.3]",No,ELN's license agreement does not provide for archival access.,1,http://eln.bc.ca/bcelnproquestfinal2008.pdf,[Link],,,
261,6/1/2013,5/31/2014,No,"<P>PERSISTENT LINKS to individual articles for access by Authorized Users for Permitted Uses are allowed, from within secure authentication environments <BR>[section 3.1.2]</P>

<P>ELECTRONIC RESERVES / VIRTUAL LEARNING:  Members and Authorized Users may incorporate parts of the Licensed Material in resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication).  Each item shall carry appropriate acknowledgment of the source, listing title and copyright owner.</P>

<P>Permission to include content in coursepacks is NOT included under the terms of this license. <BR>[section 3.1.8]</P>",Yes,"Unless indicated on the citation that the publisher specifically prohibits such, Members may INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.<BR> [section 3.1.3]",No,"Once the subscription is terminated, ELN partner libraries no longer have access to the database.

<br> [Section 7.4] </br>",2,http://www.eln.bc.ca/docs/view.php?id=410,[Link],,,
262,7/1/2015,6/30/2016,Yes,"<P>ELN partner libraries have permission to reproduce Encyclopedia articles and Research Updates from AccessScience (and no other content) in paper print form only in one or more Course Packs, subject to the terms and conditions outlined in agreement. 
<BR>[Section 2.f(1-8)]</BR></P>
<p>ELN partner libraries have permission to create electronic links to licensed materials from their own web pages.
<BR>[Section 2.b]</BR></P>",Yes,"<P>From time to time, ELN partner libraries may supply to an individual user (whether by post, fax or secure electronic submission using Ariel or its equivalent) a single copy of an electronic original of an individual document contained within AccessScience.
<BR>[Section 2.d]</BR></P>",No,"<P>Upon termination of the subscription, access to the contents of AccessScience ceases.

<BR>
[Section 5]</BR></P>",3,http://www.eln.bc.ca/docs/view.php?id=73,[Link],,,Individual institutions sign a license agreement when they become new subscribers.
263,7/1/2014,6/30/2015,Yes,"<P>ELN partner libraries may incorporate portions of ANB into printed course packs for use by Authorized Users in a course of instruction at their educational institution. Each portion of the Licensed Works used in this manner should be identified with an appropriate acknowledgment of the source, listing the title and author of the extract, title and author of the work, and ""Oxford University Press"" as the publisher. Course packs in non-print forms, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable belief of the Subscriber, are visually impaired.
<BR>[Section 3.2]</BR></P>

<P>ELN partner libraries may incorporate portions of ANB into electronic reserves collections for use by Authorized Users in a course of instruction at their educational institution. Each portion of the Licensed Works used in this manner should be identified with an appropriate acknowledgment of the source, listing the title and author of the extract, title and author of the work, and ""Oxford University Press"" as the publisher. Copies of such extracts must be deleted by the Subscriber or Authorized User when the extracts are no longer being used in the course of instruction.
<BR>[Section 3.2]</BR></P>",No,"<P>Oxford University Press prohibits use of the ANB for fulfillment of interlibrary loan requests.

<BR>
[Section 4.2.2]</BR></P>",No,"<P>Upon termination, access to the content of the ANB ceases.

<BR>
[Section 7]</BR></P>",13,http://www.eln.bc.ca/docs/view.php?id=235,[Link],,,
264,8/1/2004,7/31/2005,unavail,,unavail,,unavail,,4,http://www.hwwilson.com/abouthw/weblic.htm,[Link],,,
266,1/1/2015,12/31/2015,No,"1) d) ""Downloading of all or parts of the Products in a systematic or regular manner so as to create a collection of materials comprising all or part of the Products is strictly prohibited whether or not such collection is in electronic or print form.""",Yes,"1) c) ""Members may supply to another non-member library, a single copy of an individual document being part of the Licensed Materials for the purposes of private study or personal use, and not for commercial use.""",No,,15,http://www.eln.bc.ca/docs/view.php?id=384,[Link],,,
368,1/1/2015,12/31/2015,No,"1) d) ""Downloading of all or parts of the Products in a systematic or regular manner so as to create a collection of materials comprising all or part of the Products is strictly prohibited whether or not such collection is in electronic or print form.""",Yes,"1) c) ""Members may supply to another non-member library, a single copy of an individual document being part of the Licensed Materials for the purposes of private study or personal use, and not for commercial use.""",No,,137,http://www.eln.bc.ca/docs/view.php?id=384,[Link],,,
267,10/1/2014,9/30/2015,Yes,"<P>E-reserves and coursepacks permitted.  PLEASE NOTE REQUIREMENT TO REGISTER A ""HIT"" ON THE LICENSOR'S ON-LINE PLATFORM for coursepacks.</P>

<P>Details:</P>
<P>
COURSEPACKS  / ELECTRONIC RESERVES / VIRTUAL LEARNING.
Members and Authorized Users may incorporate a reasonable portion of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication) so long as a ìhitî is registered on Licensorís on-line platform each time an article is accessed for the CoursePack.  Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner.  Copies of such items shall be deleted by the Member when they are no longer used for such purpose.  Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users.
<BR>[3.1.8]</P>",Yes,"INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan  practices and applicable copyright laws provided that the loan is not done in a manner or magnitude that would replace the recipient libraryís own subscription             to either the Products or the purchase of the underlying Work (e.g., newspaper,  magazine, or book).<BR>[3.1.3]",No,ELN's license agreement does not provide for archival access.,16,http://eln.bc.ca/bcelnproquestfinal2008.pdf,[Link],,,
268,8/1/2002,7/31/2003,Yes,"ELN partner libraries may incorporate parts of CMAS into course packs and e-reserves for the use of Authorized Users in the course of instruction, but not for commercial use. Each such item must carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and the publisher. Course packs in non-electronic, non-print form, such as audio or Braille, may also be offered to Authorized Users who are visually impaired. 

<BR>
[Section 5.1]",Yes,"Unless indicated on the citation that the publisher specifically prohibits such, ILL of a single article is permitted using a printout from the electronic original. 

<P>
The copy may be provided by post, fax or secure transmission using Ariel or its equivalent. If transmitting via Ariel, the electronic file must be deleted immediately after printing. 

<P>
ILL is permitted for the purpose of research and private study only, not for commercial use. 

<BR>
[Section 4.1]",No,"Once the subscription is terminated, ELN partner libraries no longer have access to the database.",18,http://www.eln.bc.ca/docs/view.php?id=78,[Link],,,
