db_id,db_name,notes,content_producer,chron_coverage,content_types,more_info,usage_stats,vendor_id,title_lists,multiconsort_note,subscrib_notes
27,ACM Digital Library,"The ACM Digital Library (DL) is the most comprehensive collection of full-text articles and bibliographic records in existence today covering the fields of computing and information technology. The full-text database includes the complete collection of ACM's publications, including journals, conference proceedings, magazines, newsletters, and multimedia titles and currently consists of:<p>- 407,367 Full-text articles<br>- 2.0+ Million Pages of full-text articles<br>- 18,000+ New full-text articles added each year<br>- 44+ High Impact Journals with 2-3 new journals being launched each year<br>- 275+ Conference Proceedings Titles added each year<br>- 2,000+ Proceedings Volumes<br>- 8 Magazines (including the flagship Communications of the ACM, the most heavily cited publication in the field of computing according to Thomson-Reuters)<br>- 37 Technical Newsletters from ACM's Special Interest Groups (SIGs)<br>- 6,500+ Video files<br>- 594 Audio files<br><p>In addition to the full-text database, the ACM Digital Library is heavily integrated with and includes unrestricted access to the Guide to Computing Literature bibliography. <p>The ACM Digital Library includes reference linking though CrossRef, integration with the ACM Computing Reviews database, index terms using ACM's 2012 Computing Classification Scheme (CCS), alerting and TOC services, and all export formats including BibTex, Endnote, and ACM Ref, as well as OpenURL compliance, and COUNTER III and SUSHI Compliant usage statistics.<p>Last updated: March 20, 2015",Association for Computing Machinery,1985 to present,"Index,Abstract,FullText",http://www.acm.org/dl/,"Usage statistics are available at <a href=""http://acmreports.org"">http://acmreports.org</a><p>Enter your Customer ID and password. If you do not have a password please contact the BC ELN office, office@eln.bc.ca.",47,http://portal.acm.org/contents_dl.cfm?coll=portal&dl=ACM,,
67,Gale Literature Resource Center,"Gale Literature Resource Center includes the following three databases Contemporary Authors, Contemporary Authors New Revisions, Dictionary of Literary Biography, Contemporary Literary Criticism and other Gale sources, providing detailed biographical, bibliographical and contextual information about authors' lives and works.  Plus full-text critical essays and reviews from Contemporary Literary Criticism, Classical and Medieval Literature Criticism, Literature Criticism from 1400-1800, Nineteenth-Century Literature Criticism, Twentieth-Century Literary Criticism, as well as Drama Criticism, Poetry Criticism, Shakespearean Criticism, Short Story Criticism and Children's Literature Review.<p>Also, includes overviews of frequently studied works, from sources including Gale's For Students series, Literature and Its Times and Characters in 20th-Century Fiction.  And includes Merriam Webster's Encyclopedia of Literature.<p>From vendor<p>Last updated: November 4, 2014",Gale Group,early 20th century to present,"Index,Abstract,FullText",http://gdc.gale.com/gale-literature-collections/literature-resource-center/,"Use Gale's InfoTrac Config module to run reports or to set up automatic e-mailing of reports.  At the time library accounts were initially activated, Gale provided each library with a unique user account for InfoTrac Config.<p>To run stats for your library, go to:  http://infotrac.galegroup.com/itconfig/""""institution id""""<p>Substitute the Gale Cengage code for your library where it says institution ID.  Enter the username and password supplied by Gale.<p>Information and instructions for Gale Cengage statistics can be found at <a href=""""http://support.gale.com/al/12/1/article.asp?aid=1675&bt=4n#inf"""">http://support.gale.com/al/12/1/article.asp?aid=1675&bt=4n#inf</a>""",51,http://www.gale.cengage.com/title_lists/,,
1,ABI/INFORM Global,"Quickly connects business researchers with more of the scholarly information that they need. ABI/INFORM Global contains the full text of thousands of journals, including essential scholarly journals and the most important trade journals. Researchers increasingly need more than just scholarly journals to conduct their research thoroughly and effectively. This is why we have made it easy for them to access thousands of dissertations, working papers, reports, news sources, and much more.<p>All this is available on the intuitive and powerful ProQuest platform. This allows cross-searching with other ProQuest business resources as well as creation of RSS feeds, content alerts, Smart Search, article linking, and much more. The platform recently received five stars from The Charleston Advisor for interface and searchability.<p>[From vendor]Last updated: March 12, 2015""",ProQuest,1923 - present,"Index,Abstract,FullText",http://www.proquest.com/products-services/abi_inform_global.html,"Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com).  To login to the ProQuest Local Administrator, point your browser to <a href=""http://proquest.umi.com/lad"">http://proquest.umi.com/lad</a><ol><li>Click ""Usage Report.""<li>Select the report type. Several options are available.<li>Select the time period you want covered by the report (""Usage Period"")<li>Select the delivery method: email or display to screen.If you have any questions, please contact ProQuest customer service (phone and email given above.)</ol>""",62,http://tls.proquest.com/tls/servlet/ProductSearch?area=0&prodName=ABI/INFORM&prodType=1&subject=0,,
3,AccessScience,"AccessScience is an authoritative and dynamic online resource that contains incisively written, high-quality reference material that covers all major scientific disciplines. An award-winning gateway to scientific knowledge, it offers links to primary research material, videos and exclusive animations, plus specially designed curriculum maps for teachers. With these and other online features, AccessScience is continually expanding the ways it can demonstrate and explain core, trustworthy scientific information in a way that inspires and guides users to deeper knowledge.<p>AccessScience's dedicated editorial team is led by Sagan-Award-winner John Rennie and comprises more than 9000 scientists and engineers, including 39 Nobel Prize Winners as well as recipients of other major scientific prizes such as Franklin Institute Awards. With its roots in McGraw-Hill Education''s world-famous scientific publishing programóencompassing the McGraw-Hill Encyclopedia of Science and Technology and the McGraw-Hill Yearbook of Science and TechnologyóAccessScience draws on and continues a deep tradition of presenting rigorously vetted scientific knowledge and expertise in a way that is both engaging and easy to understand.<p>[From vendor]<p>Last updated: March 20, 2015",McGraw-Hill,"historical, current",FullText,http://www.accessscience.com/pages/about,"Statistics are available from <a href=""http://www.accessscience.com/statistics/"">http://www.accessscience.com/statistics/</a>. Please contact the vendor if you do not have your institutional login or password.""",57,#N/A,,
13,American National Biography,"The landmark American National Biography offers portraits of more than 18,700 men and women -- from all eras and walks of life -- whose lives have shaped the nation. More than a decade in preparation, the American National Biography is the first biographical resource of this scope to be published in more than sixty years.<p>[From vendor]<p>Last update: March 24, 2015",American Council of Learned Societies,Historical,,http://www.anb.org/aboutcontent.html,"Usage statistics for ANB Online are available in the Subscriber Services Section of the site. After entering ANB Online, click the Subscriber Services link in the upper right corner of the page.  You will need the Administrative username and password for your account in order to access the Subscriber Services tools (available by following the prompts online).",61,#N/A,,
15,Canadian Almanac and Directory,"<P>All the facts and figures you will ever need about Canada. No other single source provides users with the quality and depth of up-to-date information for all types of research.<P>This database is the best single reference source for business executives, managers and assistants,  government and public affairs executives,  lawyers,  marketing, sales and advertising executives, researchers, editors and journalists.<P>This robust database gives you access to statistics, images and over 45,000 names and addresses for everything from Airlines to Zoos - updated every year.<P>Each category is a gold-mine of information, providing robust information on business and finance, communications, government, associations, arts and culture (museums, zoos, libraries, etc.), health, transportation, law, education, and more.<P>Government information includes federal, provincial and territorial - and includes an easy-to-use quick index to find key information. A separate Municipal Government section includes every municipality in Canada, with full profiles of Canada's largest urban centres.<P>A complete legal directory lists judges and judicial officials, court locations and law firms across the country.<P>A wealth of general information, the Canadian Almanac & Directory also includes national statistics on population, employment, imports and exports, and more.<P>National awards and honours are presented, along with forms of address, Commonwealth information and full colour photos of Canadian symbols.<P>The Canadian Almanac and Directory online is cross-searchable with Grey House Publishing Canada's other best-selling directories. In addition, users also have the option to export much needed organization and contact information to easily generate contact or mailing lists at an additional cost.<p>[From vendor]<p>Last updated: December 6, 2013""",Grey House,current year,FullText,http://circ.greyhouse.ca/page/multimedia,Statistics available on request from ELN [EMAIL_OFFICE].,88,#N/A,,
16,CBCA Reference and Current Events,"Canadian Business & Current Affairs (CBCA) Reference provides in-depth access to a wide diversity of Canadian periodicals, ranging from academic titles to special interest publications to general magazines. The academic titles include the most prominent journals from the social sciences, humanities, and sciences. Other magazines focus on opinion, public policy, children/youth, lifestyles, arts and culture, health, regional concerns, etc. <p>Canadian Business & Current Affairs (CBCA) Education focuses on Canadian information in the field of education. Itís the perfect source for those interested in teaching, educational research, and educational administration in Canada. Over 280 journals are in the collection, with file depth back to the 1980s. Academic, administrative, professional, and topical journals are all included, as are newsletters.<p>[From Vendor]<p>Updated: May 11, 2015""",ProQuest,1972 - present,"Index,Abstract,FullText",http://www.proquest.com/products/pt-product-CBCA-Reference.shtml,"Beginning January 2004, ELN sites began the process of migrating to the ProQuest interface from SLRI. <p>ProQuest usage statistics:<br>Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com).  To login to the ProQuest Local Administrator, point your browser to <a href=""""http://proquest.umi.com/lad"""">http://proquest.umi.com/lad</a><ol><li>Click """"Usage Report.""""<li>Select the report type. Several options are available.<li>Select the time period you want covered by the report (""""Usage Period"""")<li>Select the delivery method: email or display to screen.If you have any questions, please contact ProQuest customer service (phone and email given above.)</ol><p>Prior to January 2004, as well as during the transition period, ELN sites used the SLRI interface to CBCA Fulltext Reference.<p>SLRI Usage Statistics:<br>Statistics for the SLRI interface record the number of search sessions per database per site, where a search session is defined as a user connecting to a database. The number of searches performed by the user during the session is not recorded, nor are the number of full-text articles viewed. <p>Here's how to generate statistics:<p>First, connect to:<p><a href=""""http://www.lib.sfu.ca/cgi-bin/reports_database/reports_database.cgi"""">http://www.lib.sfu.ca/cgi-bin/reports_database/reports_database.cgi</a><p>Statistics are available for individual months. It's also possible to generate a cumulative report, but more on that in a moment.<p>Under each month, you will notice that statistics are available for two user groups, SFU and ELN. ELN statistics cover all the sites in the ELN consortium, individually and collectively SFU statistics only cover SFU. You will also see that different kinds of statistics are available: under the """"status"""" column, there are up to 4 categories: www, telnet, full, and connections. Here is what each category provides:<p>www - the number of web based connections to the databases<p>telnet - the number of telnet based connections. The last of the telnet interfaces was phased out last August, so from September 2001 onwards these stats should be in the neighbourhood of zero.<p>full - the number of web and telnet based connections combined. As of September 2001, this should be the same as the number of web connections.<p>connections - This category is a bit tricky: it's the number of refused connections.  The most likely cause for turn-aways is the simultaneous user restriction currently in place for the Wilson databases.<p>Given the above, it's most likely you will be interested in full statistics for the ELN group. Clicking on the 'txt' link for a given month will provide you with a breakdown of accesses for individual sites that you can read in your browser. Clicking on the 'tab' link will provide a tab-delimited text file that can be imported into a spreadsheet.<p>Databases are specified by short names: for example, arts for the Art Index, hssi for Humanities and Social Sciences. Individual sites are specified by NLC codes. <p>It gets time consuming to review statistics on a month-by-month basis. Here's how to combine statistics for multiple months:<p>Next to the Start date for each report type, there is a check box. Check the boxes for each month that you want to include in the cumulative report. Be careful: generally it's best to check only one box for each month. For example, if you want to measure overall usage for your institution, check only the box next to the full report for ELN users. Checking multiple boxes in a single month can cause the totals to become greatly inflated.<p>When you are done checking boxes, return to the top of the page, and click the """"Combine Reports"""" button. This will produce a tab-delimited text file that you can save to your hard drive and open in a spreadsheet program.""",62,http://www.proquest.com/en-US/products/titlelists/tl-menu.shtml,,
63,eHRAF World Cultures,"eHRAF World Cultures is an online cross-cultural database that contains information on all aspects of cultural and social life. The annually-growing eHRAF database is unique in that the information is organized into cultures and ethnic groups and the full-text sources are subject-indexed at the paragraph level.<p>[From vendor]<p>Last updated: December 6, 2013""",HRAF,historical to present,"Index,FullText",http://www.yale.edu/hraf/collections.htm,Send an e-mail to christiane.cunnar@yale.edu to request usage statistics for your library.,55,#N/A,,
20,Canadian Research Index,"Canadian Research Index includes federal, provincial, and municipal documents such as depository publications of research value issued by the federal government, the ten provinces, and two of the three territories; hard to find non-depository publications issued by hundreds of Canadian government agencies and departments; scientific and technical report literature issued by research institutes and government laboratories; policy, social, economic, and political reports; Statistics Canada monographs, and serials. No other service provides this combination of all jurisdictions, along with publications from leading research centers in Canada, with standardized access points and the added value of being fully abstracted and indexed.<p>Over 50% of the federal documents listed in Canadian Research Index are non-depository publications, and are not available through the regular government catalog-ordering process. Descriptive abstracts for citations in the Canadian Research Index make it easier to find the documents you need. They also help you to identify the best material in a lengthy results list. The broad geographic, jurisdictional, and subject coverage of Canadian Research Index makes it a valuable resource for users in university and institutional libraries, government agencies, and special libraries in Canada and around the world.<p>[From vendor]<p>Last updated: March 12, 2015""",ProQuest,1980 - present,"Index,Abstract",http://www.proquest.com/products-services/canadian_research.html,"Current statistics are available using the ProQuest Local Administrator (LAD).  Detailed information can be found in the <a href=""http://www.eln.bc.ca/view.php?id=1446#stats"">March 2007 BC ELN Connect</a>.Statistics from previous years are available at:  <a href=""""http://www.eln.bc.ca/view.php?id=1297"""">http://www.eln.bc.ca/view.php?id=1297</a>""",62,#N/A,,
17,CBCA Education,"Canadian Business & Current Affairs (CBCA) Education focuses on Canadian information in the field of education. Itís the perfect source for those interested in teaching, educational research, and educational administration in Canada. Over 280 journals are in the collection, with file depth back to the 1980s. Academic, administrative, professional, and topical journals are all included, as are newsletters. Updated: May 11, 2015",ProQuest,N/A,"Index,Abstract,FullText",http://www.proquest.com/libraries/academic/databases/cbca_education.html,"As of fall 2003, ELN sites began using the ProQuest interface to CBCA Fulltext Education.  Historical statistics for access via the CIRC interface are available on request from ELN. <p>ProQuest Statistics:<br>Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com).  To login to the ProQuest Local Administrator, point your browser to <a href=""""http://proquest.umi.com/lad"""">http://proquest.umi.com/lad</a><ol><li>Click """"Usage Report.""""<li>Select the report type. Several options are available.<li>Select the time period you want covered by the report (""""Usage Period"""")<li>Select the delivery method: email or display to screen.If you have any questions, please contact ProQuest customer service (phone and email given above.)</ol>""",62,http://tls.proquest.com/tls/servlet/ProductSearch?platformID=1&externalID=14401&vdID=1,,
