db_inst_id,db_id,inst_id
1847,72,21
1782,129,7
2147,128,31
1710,98,19
2146,128,30
2145,128,22
1800,131,25
1550,31,8
810,31,10
2144,128,18
2143,128,16
2142,128,17
2141,128,15
2285,139,84
1495,114,21
2259,149,32
811,31,28
1533,31,30
2137,128,6
2566,161,14
2318,152,32
2539,48,95
2673,85,19
1724,122,1
2262,149,29
2261,149,27
1693,114,25
1723,100,29
1034,69,11
2315,141,26
1781,129,1
2252,149,19
1033,69,7
2260,149,28
53,3,17
54,3,16
55,3,18
56,3,21
2580,151,29
2273,100,28
60,3,8
1559,117,12
1736,122,18
1735,122,16
1734,122,17
1733,122,14
1732,122,12
1731,122,11
1730,122,10
1692,114,29
1729,122,7
1728,122,5
1727,122,4
1726,122,3
1725,122,2
1722,48,19
2253,149,84
1720,68,11
1718,62,8
1717,98,31
2404,161,4
1819,135,23
2598,176,32
1870,138,7
2329,129,27
2328,129,5
2339,12,3
101,60,18
2314,94,87
105,60,17
2334,59,92
2387,158,3
2533,129,95
1845,138,1
1844,72,2
2389,64,84
2636,179,7
2465,125,14
116,16,3
117,16,4
118,16,5
2258,149,25
120,16,8
1396,90,32
2313,80,87
123,16,12
2304,151,8
1716,98,3
2170,81,17
127,16,17
2531,160,19
129,16,18
1549,62,26
132,16,21
2303,12,22
1395,90,23
2582,90,11
1522,68,3
2189,129,10
2326,31,92
1524,100,32
142,16,30
143,16,31
144,18,1
145,18,2
147,18,4
148,18,5
151,18,8
152,18,10
153,18,11
156,18,15
157,18,17
158,18,16
159,18,18
160,18,19
162,18,21
164,18,23
166,18,25
167,18,26
168,18,27
169,18,32
170,18,28
171,18,29
172,18,30
1012,46,6
888,41,29
887,41,28
1750,38,30
2197,96,16
1892,139,18
831,64,23
2327,129,3
829,63,29
828,63,28
1348,12,11
826,63,27
2191,96,4
1071,3,19
2548,173,7
204,20,5
2401,69,17
2386,158,22
207,20,10
208,20,11
2385,158,21
1705,27,11
2405,161,7
2639,179,12
213,20,17
214,20,16
215,20,18
2485,167,32
1553,117,3
2400,20,84
219,20,22
220,20,23
223,20,26
2238,149,2
225,20,32
226,20,28
227,20,29
228,20,30
229,20,31
2227,129,2
824,63,23
2635,179,5
1543,68,19
2223,16,1
2390,63,84
237,17,21
2311,102,87
239,17,25
2363,156,17
2300,16,26
1872,12,27
261,22,5
262,22,16
263,22,23
265,22,25
266,22,32
267,22,28
268,22,29
2458,16,22
2677,67,12
271,24,15
272,24,16
2347,17,28
2245,149,10
2597,176,21
2302,12,84
2178,65,3
289,25,2
290,25,3
291,25,4
292,25,5
293,25,7
295,25,10
2230,129,19
297,25,12
299,25,14
300,25,15
301,25,17
302,25,16
303,25,18
1558,117,11
1557,117,10
1532,25,21
307,25,22
308,25,23
310,25,25
311,25,26
312,25,27
313,25,32
314,25,28
316,25,30
317,25,31
2406,161,8
1765,62,14
2269,41,87
1755,123,32
1748,98,4
1745,122,28
1742,122,25
1739,122,22
1482,102,31
1479,102,28
1473,102,23
1470,102,19
1467,102,17
2330,128,92
2444,79,4
2559,69,84
1638,120,22
1637,120,21
1636,120,19
1760,57,14
1635,120,18
1634,120,16
1261,80,28
1633,120,17
1632,120,14
1631,120,12
348,12,5
349,12,7
350,12,16
351,12,19
353,12,28
354,12,29
1868,126,29
1867,126,28
1866,126,32
1865,126,23
1864,126,21
1863,126,19
1860,81,8
2323,155,26
1715,69,2
1857,129,32
1838,131,10
2394,160,23
2338,38,14
1835,97,29
1546,62,19
2296,87,27
2209,129,29
1829,128,21
2257,149,26
1827,128,11
1778,87,7
2235,148,23
1612,119,19
1611,119,18
1610,119,16
1609,119,17
1608,119,14
1607,119,12
1606,119,11
1761,72,23
1605,119,10
1267,83,2
1604,119,7
1603,119,5
1602,119,4
1601,119,3
1600,119,2
1599,119,1
1666,121,27
1665,121,25
1664,121,26
1663,121,23
1662,121,22
1661,121,21
1660,121,19
1630,120,11
1659,121,18
1658,121,16
1657,121,17
1656,121,14
1655,121,12
1654,121,11
1653,121,10
1652,121,7
1651,121,5
1650,121,4
