guid,title,ereserves,ereserves_txt,ill,ill_txt,archival,archival_txt,url_1,url_1_desc,url_2,url_2_desc,general
6,AccessEngineering,notspec,,No,,No,,http://www.coppul.ca/licenses/scans/AccessEng.pdf,McGraw-Hill License Agreement,,,AccessEngineering is a Consortia Canada license negotiated on behalf of participating members by the BC Electronic Library Network and the Electronic Health Library of BC.
7,ACM Digital Library,Yes,"2. Basic License. Authorized Users may download, print, and copy items from the DL for their use in connection with classroom instruction and related educational purposes, but may not redistribute or make available access to the DL for any commercial purposes.",Yes,"ACM DL Addendum 2013: <p> The Subscriber and individual users affiliated with the Subscriber may make digital or hard copies of the individual articles contained within the DL, as long as such copies are not made or distributed for profit or commercial advantage and all such copies bear the ACM copyright notice. The Subscriber's Authorized Users may download and print articles for personal use and archive contents on their own personal computers. Facsimile images that are exact representations of the print pages or of printouts from the electronic database may be provided for interlibrary loan under CONTU guidelines and distributed in paper, fax, or digital form. Libraries may include copies of DL digital content in local electronic course reserve systems limited to use of Authorized Users of current classes.",No,"12. Post-Cancellation Perpetual Access. Publisher will provide the Authorized Institutions and their Authorized Users with access to the full text of the Licensed Materials which were published and paid for during the term of this Agreement, either through CLOCKSS, Portico, or by supplying the electronic files in a medium and format mutually agreed between the parties to the Authorized Institutions without charge.",http://www.coppul.ca/licenses/scans/ACM_DL_License_2013_Redacted.pdf,ACM DL Terms and Conditions ;,http://www.coppul.ca/licenses/scans/ACM_DL_Addendum_2013.pdf,ACM DL Addendum 2013,ACM Digital Library is a Consortia Canada license negotiated on behalf of member libraries by the Conference des recteurs et des principaux des universites du Quebec (CREPUQ).
9,ASTM,Yes,"3.6 Course Packs/Electronic Reserve <p> Members and Authorized Users may incorporate a reasonable portion of the Licensed Material in printed Course Packs and Electronic Reserve collections for the use of Authorized Users in the course of instruction at a Member, but not for Commercial Use. Each such item shall carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and the publisher. Course packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Member, have physical or learning disabilities.",Yes,"3.11 Interlibrary Loan <p> Members shall be permitted to supply to a library of a non-Member (whether by post, fax or secure transmission, using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing), for the purposes of research or private study and not for Commercial Use, a single copy of an electronic original of an individual document being part of the Licensed Materials.",Yes,"2.2 Perpetual Access <p> Except for termination for cause (see Section 10.4), Licensor hereby grants to Licensee a nonexclusive, royalty-free, perpetual license to use the Licensed Materials that were accessible during the term of this Agreement. Such use shall be in accordance with the provisions of this Agreement, which provisions shall survive any termination of this Agreement. The means by which Licensee shall have access to such Licensed Materials shall be in a manner and form substantially equivalent to the means by which access was provided under this Agreement. For the purposed of clarity, inclusion of ""Appendix 1 Local Archiving and Hosting of Licensed Materials"" in the License Agreement shall constitute prior agreement to enforce all of the provisions of Section 2.2.",http://www.coppul.ca/licenses/scans/ASTM_Electronic_Products_License__Redacted.pdf,ASTM Electronic Products License Agreement,,,ASTM is a Consortia Canada license negotiated on behalf of member libraries by the Conférence des recteurs et des principaux des universités du Québec (CREPUQ).
10,Bibliography of Asian Studies,Yes,"4. Copyright <p> The BAS and its contents are subject to copyright, database protection, and other rights of the publisher (AAS), under the laws of the United States and the country of use. The subscriber is allowed the ""fair use"" of all information for non-commercial, educational, instructional, and scientific purposes by authorized users. <p> The subscriber acknowledges that it has no claim to ownership by reason of its use of or access to the BAS. Recompiling, copying, publication or republication of data beyond ""fair use,"" in any form or medium whatsoever, may be done only with specific written permission from the AAS.",No,"An Authorized User may not make the BAS available to anyone other than another Authorized User, whether by telephone link or by permitting access through his or her terminal or computer; or by other similar or dissimilar means or arrangements.",No,,http://www.asian-studies.org/bas-sub.htm,Bibliography of Asian Studies Subscription Agreement,,,"The Association for Asian Studies requires a signed Subscription Agreement from each participating COPPUL member. Furthermore, AAS will not accept any changes to their license – it must be signed as is."
11,Bibliography of British & Irish History,Yes,"Section 4. Warranty - Rights of the Licensee and the Authorised User <p> Licensee and Authorized Users may incorporate insubstantial parts of the Database in course packs, study packs, resource lists and in any other material to be used in the course of instruction and/or in virtual and managed environments hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication). Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner. Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users. If the Licensor does not have the right to grant these rights, then these rights will apply exclusively to the content for which the Licensor does have such rights. <p> Authorized Users may create persistent links to individual articles for access by Authorized Users for Permitted Uses under this Agreement, from within secure authentication environments. The Publisher does not guarantee that persistent links will work for all databases and in all situations.",No,,No,"Section 8. Duration and expiration of Agreement <p> At the expiry of the agreement, the Licensee will not keep in his possession any data of the Database for further use or for archival reasons, nor give further access to the Database unless explicitly agreed with the Publisher.",http://www.coppul.ca/licenses/scans/BBIH_License_2013_Redacted.pdf,Brepolis License Agreement,,,
12,BioOne,Yes,"3.2.2 Incorporate parts of the Licensed Materials in printed Course Packs and Electronic Reserve collections and in Virtual Learning Environments for the use of Authorized Users in the course of instruction at a Member’s institution, but not for Commercial Use. Each item will carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and the publisher. Copies of such items shall be deleted by the Member when they are no longer used for such purpose. Course Packs in non-electronic, non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Member, are visually impaired.",Yes,"3.2.1 Supply to an Authorized User or another library a copy of an individual document being part of the Licensed Materials by post, fax, or electronic transmission via the Internet or otherwise, for the purposes of research or private study but not for Commercial Use.",Yes,"2.3 On termination of this License, BioOne shall provide continuing access for Authorized Users to that part of the Licensed Materials that was published and paid for within the Subscription Period, either from the Server or from the archive described in section 5.5, or by supplying electronic files to the Consortium subject to payment of such fees as the parties may agree, except where such termination is due to a breach of the License by the Consortium that the Consortium has failed to remedy as provided in sections 8.1.1 and 8.1.3 of this License, in which case such continuing access shall be provided in respect of Licensed Materials published up to the date of such breach. <p> The Consortium or Member may participate in networks with other Libraries or Consortia for the purposes of ensuring preservation (e.g., LOCKSS networks), but not for providing access to other members of such networks not included in this Agreement.",http://www.coppul.ca/licenses/scans/BioOne_Redacted.pdf,BioOne Subscriber License,,,
13,Thomson Reuters Agreement,Yes,"2. (a) (8) incorporate parts of the Database in printed Course Packs and Electronic Reserve collections for the use of Authorized Users in the course of instruction at a Client’s institution, but not for commercial use. Each such item shall carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and the publisher. Copies of such items shall be deleted by the Client when they are no longer used for such purpose. Course packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Client, are visually impaired.",No,,No,"6. (e) Effect of Termination. <br> Unless otherwise indicated herein, Client’s access to the Products shall cease immediately upon termination or expiration of the Agreement. Within 30 days after the termination or expiration of the Agreement, Client shall erase or destroy all copies of Products in Client’s possession or control from all media, disk files and central data system memory, and shall, on TS’ request, deliver to TS a notarized statement of an individual having sufficient knowledge of this Agreement and the status of the Products, certifying that access has ceased and the Products have been erased from all storage media of Client. Further, Client shall notify all Users of their obligations to cease access to the , and erase or destroy all copies of Products in their possession.",http://www.coppul.ca//licenses/scans/ThomsonReutersWithAmendments_Redacted.pdf,Thomson Reuters Agreement,,,
14,Research Now,Yes,"3.9 Course Packs / Electronic Reserve / Virtual Learning. <br> Members and Authorized Users may incorporate parts of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication). Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner. Course packs in other formats, such as Braille, may also be offered to Authorized Users.",Yes,"3.5 Interlibrary Loan by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.",Yes,"2.2 Except for termination by De Gruyter pursuant to Clause 8.2, De Gruyter hereby grants a nonexclusive, royalty-free, perpetual license to Licensee for Members of the Consortium and their Authorized Users to use the Licensed Materials that were accessible during the term of this Agreement. Such use shall be in accordance with the provisions of this Agreement, which provisions shall survive any termination of this Agreement. The means by which the Member Institutions shall have access to such Licensed Materials shall be in a manner and form substantially equivalent to the means by which access is provided under this Agreement. For the purposes of clarity, signing of the separate Local Archiving and Hosting of Licensed Materials Agreement shall constitute prior agreement to enforce all of the provisions of Clause 2.2.",http://www.coppul.ca/licenses/scans/DeGruyter_License_2013_Redacted.pdf,"De Gruyter License,",http://www.coppul.ca/licenses/scans/DeGruyter_License_Amdt_2014_Redacted.pdf,Amendment 2014,
16,Cambridge Books Online,Yes,"3.(iv) incorporate parts of the Work in Course Packs and/or VLEs to be used by Authorised Users in the course of instruction (but not for Commercial Use ) at Your institution and hosted on a Secure Network. Each such item shall be subject to the limits detailed in clauses 3(b)(ii) and (iii) below, and shall carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, copyright notice, and the publisher. You shall delete copies of such items when they are no longer used for such purpose. Course packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to Authorised Users who, in Your reasonable opinion, are visually impaired.",Yes,"3.(iii) supply to the library of an institution within the same country as You (whether by post, fax or secure transmission, using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing), for the purposes of individual research or private study by an Authorised User of the library and not for Commercial Use, a single paper copy of an individual document forming part of the Work, provided that the limits detailed in clause 3(b)(ii) and (iii) below continue to apply.",Yes,"5. Term and Termination <br> (d) Except as otherwise provided herein, and subject to clause 2(c), on termination all rights and obligations of the parties automatically terminate except for Your obligations in respect of any contents of the Work provided to You under the provisions of clause 2(c). <p> 2.(c) On termination of this Agreement under the provisions of clause 5(b)(ii), (v) or (vi), the Publisher shall, if it receives a written request from You no later than sixty (60) days after termination, provide You with the contents of the Work as electronic files (the exact format to be determined by the Publisher at the time) without functionality or programming for You to hold in Your archive and, if You so desire, to make available in that pared-down form to Authorised Users, it being understood that provision and use of such electronic files shall continue to be subject to the terms and conditions of this Agreement and of the Access Agreement.",http://www.coppul.ca/licenses/scans/CBO_License.pdf,Cambridge Books Online Agreement,,,
17,Cambridge Histories Online,Yes,"4. COURSE PACKS AND ELECTRONIC RESERVE <p> 4.1 Members and Authorized Users may incorporate parts of the Licensed Materials in printed Course Packs and Electronic Reserve collections for the use of Authorized Users in the course of instruction at a Members institution, but not for Commercial Use. Each such item shall carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and the publisher. Copies of such items shall be deleted by the Member when they are no longer used for such purpose. Course packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Member, are visually impaired.",No,"Cambridge UP does not permit ILL. Furthermore, they insisted that any language regarding interlibrary loans not be added to the agreement.",Yes,"7.3 The Licensor undertakes to use reasonable endeavours to provide or to make arrangements for a third party to provide an archive of the Licensed Materials for the purposes of long term preservation of the Licensed Materials, and to permit Authorized Users to access such archive after termination of this License.",http://www.coppul.ca/licenses/scans/CHO_License.pdf,CHO License Agreement,,,
